simulation_id,scenario,tos,qos_class,offered_bandwidth,time_distribution,routing_hops,n_nodes,max_avg_lambda,link_bandwidth,scheduling_policy,tos_queue_weight,min_tos_weight,avg_delay,jitter,packet_loss_rate,delay_p10,delay_p50,delay_p90,actual_bandwidth,log_avg_delay
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,2916.0,0,3,6,9842.0,100000,WFQ,10.0,10.0,0.040102,0.000549,0.0,0.009,0.051,0.067195,2.92758,-3.216329070601625
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,8837.0,1,3,6,9842.0,100000,WFQ,10.0,10.0,0.037589,0.000509,0.0,0.009,0.051,0.063348,8.86374,-3.2810438245798106
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,2342.0,1,1,6,9842.0,100000,WFQ,10.0,10.0,0.009172,1.4e-05,0.0,0.005,0.01,0.014,2.33492,-4.6915999139864795
results_qos_sdwan_0_9_2,A_wfq_fixed,1,Silver,8521.0,0,1,6,9842.0,100000,WFQ,30.0,30.0,0.010784,2.8e-05,0.0,0.005,0.01,0.016684,8.57679,-4.529691724812186
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,5679.0,4,1,6,9955.0,100000,WFQ,10.0,10.0,0.009781,1.8e-05,0.0,0.005,0.01,0.014,1.98155,-4.627313550673781
results_qos_sdwan_0_9_0,A_wfq_fixed,1,Silver,2053.0,0,1,6,9955.0,100000,WFQ,30.0,30.0,0.009809,1.9e-05,0.0,0.005,0.01,0.014,2.05252,-4.6244549473999585
results_qos_sdwan_0_9_0,A_wfq_fixed,1,Silver,3273.0,0,2,6,9955.0,100000,WFQ,30.0,30.0,0.02325,9.4e-05,0.0,0.01,0.022527,0.0363,3.27861,-3.7614501469487718
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,5112.0,0,1,6,9955.0,100000,WFQ,10.0,10.0,0.015866,0.000129,0.0,0.005,0.014,0.030566,5.1295,-4.143576824102325
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,6945.0,1,2,6,9955.0,100000,WFQ,10.0,10.0,0.026359,0.000276,0.0,0.006,0.034,0.046148,6.96505,-3.6359455063345
results_qos_sdwan_0_9_0,A_wfq_fixed,0,Gold,6392.0,0,1,6,9955.0,100000,WFQ,60.0,60.0,0.011412,3.3e-05,0.0,0.005,0.01,0.018988,6.37248,-4.473089845630883
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,4401.0,4,1,6,9955.0,100000,WFQ,10.0,10.0,0.009222,1.4e-05,0.0,0.005,0.01,0.014,1.60578,-4.686163345197623
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,7771.0,0,3,6,9955.0,100000,WFQ,10.0,10.0,0.041245,0.000568,0.0,0.009,0.051,0.067829,7.76882,-3.1882253856694422
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,8332.0,1,2,6,9955.0,100000,WFQ,10.0,10.0,0.027024,0.000301,0.0,0.006,0.034,0.046872,8.32995,-3.611029918916693
results_qos_sdwan_0_9_0,A_wfq_fixed,1,Silver,9098.0,0,3,6,9955.0,100000,WFQ,30.0,30.0,0.035572,0.000186,0.0,0.015,0.036164,0.052963,9.09677,-3.3361964674447435
results_qos_sdwan_0_9_0,A_wfq_fixed,1,Silver,7207.0,1,1,6,9955.0,100000,WFQ,30.0,30.0,0.010662,5.6e-05,0.0,0.003,0.017,0.017,7.19857,-4.541069260581568
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,3716.0,4,1,6,9955.0,100000,WFQ,10.0,10.0,0.00919,1.4e-05,0.0,0.005,0.01,0.014,1.29603,-4.689639342614542
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,7599.0,4,3,6,9955.0,100000,WFQ,10.0,10.0,0.038358,0.000538,0.0,0.009,0.051,0.065221,2.65588,-3.260792167969492
results_qos_sdwan_0_9_0,A_wfq_fixed,1,Silver,3401.0,4,2,6,9955.0,100000,WFQ,30.0,30.0,0.024942,0.000234,0.0,0.006,0.034,0.044285,1.2293,-3.6912021494835816
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,5108.0,1,3,6,9955.0,100000,WFQ,10.0,10.0,0.037865,0.000521,0.0,0.009,0.051,0.064318,5.11362,-3.2737280764163508
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,8904.0,0,2,6,9955.0,100000,WFQ,10.0,10.0,0.025239,0.000248,0.0,0.006,0.034,0.042717,8.93594,-3.6793648617453507
results_qos_sdwan_0_9_0,A_wfq_fixed,1,Silver,8594.0,1,3,6,9955.0,100000,WFQ,30.0,30.0,0.030707,0.000153,0.0,0.015,0.03,0.044238,8.60153,-3.4832646373506897
results_qos_sdwan_0_9_0,A_wfq_fixed,1,Silver,3728.0,4,3,6,9955.0,100000,WFQ,30.0,30.0,0.03191,0.000158,0.0,0.015,0.03,0.046552,1.31375,-3.444835838691985
results_qos_sdwan_0_9_0,A_wfq_fixed,1,Silver,6089.0,1,1,6,9955.0,100000,WFQ,30.0,30.0,0.010483,2.5e-05,0.0,0.005,0.01,0.01518,6.08615,-4.558000381511701
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,3143.0,0,1,6,9955.0,100000,WFQ,10.0,10.0,0.009376,1.5e-05,0.0,0.005,0.01,0.014,3.15285,-4.66960204614748
results_qos_sdwan_0_9_0,A_wfq_fixed,1,Silver,5509.0,4,1,6,9955.0,100000,WFQ,30.0,30.0,0.01142,3.3e-05,0.0,0.005,0.01,0.019005,1.95974,-4.472389074754273
results_qos_sdwan_0_9_0,A_wfq_fixed,0,Gold,3133.0,4,2,6,9955.0,100000,WFQ,60.0,60.0,0.021018,7.4e-05,0.0,0.01,0.02,0.031012,1.11093,-3.8623760655387325
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,2385.0,0,2,6,9955.0,100000,WFQ,10.0,10.0,0.023807,0.000237,0.0,0.006,0.034,0.040898,2.36364,-3.7377756239017654
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,8488.0,4,1,6,9955.0,100000,WFQ,10.0,10.0,0.010214,2.5e-05,0.0,0.005,0.01,0.014,2.85742,-4.583995950756685
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,5152.0,1,1,6,9955.0,100000,WFQ,10.0,10.0,0.010904,3.3e-05,0.0,0.005,0.01,0.016872,5.15418,-4.518625584587905
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,9955.0,4,2,6,9955.0,100000,WFQ,10.0,10.0,0.023742,0.000238,0.0,0.006,0.034,0.041255,3.45916,-3.740509647350795
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,2938.0,4,3,6,9955.0,100000,WFQ,10.0,10.0,0.032591,0.000186,0.0,0.015,0.03,0.048769,1.06021,-3.4237191023444438
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,4786.0,0,3,6,9955.0,100000,WFQ,10.0,10.0,0.032879,0.000191,0.0,0.015,0.03,0.049479,4.78048,-3.4149211228819656
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,5716.0,0,1,6,9955.0,100000,WFQ,10.0,10.0,0.009519,1.6e-05,0.0,0.005,0.01,0.014,5.72402,-4.654465477712969
results_qos_sdwan_0_9_0,A_wfq_fixed,2,Bronze,8241.0,0,1,6,9955.0,100000,WFQ,10.0,10.0,0.011383,6.5e-05,0.0,0.003,0.017,0.017144,8.18955,-4.475634264639058
results_qos_sdwan_0_9_4,A_wfq_fixed,2,Bronze,5892.0,4,1,6,9722.0,100000,WFQ,10.0,10.0,0.011466,6.3e-05,0.0,0.003,0.017,0.017814,2.04151,-4.468369144495946
results_qos_sdwan_0_9_4,A_wfq_fixed,2,Bronze,9259.0,4,1,6,9722.0,100000,WFQ,10.0,10.0,0.011031,5.9e-05,0.0,0.003,0.017,0.017,3.13858,-4.507045787994892
results_qos_sdwan_0_9_4,A_wfq_fixed,1,Silver,5145.0,1,2,6,9722.0,100000,WFQ,30.0,30.0,0.022296,9.2e-05,0.0,0.01,0.020183,0.034682,5.14416,-3.80334798880249
results_qos_sdwan_0_9_4,A_wfq_fixed,2,Bronze,7374.0,4,1,6,9722.0,100000,WFQ,10.0,10.0,0.015514,0.000146,0.0,0.003,0.017,0.030058,2.65811,-4.166012436913457
